country,prct_close_relat,prct_rpt_crime,prct_env_satis_high,gdp,prct_job_satis_high,prct_leisure_satis_high,life_expect,prct_life_satis_high,prct_low_savings,prct_budget_veryhard,median_income,prct_health_verygood,prct_rpt_pollution,prct_yng_adt_pop,legal_trust_rating,police_trust_rating,political_trust_rating,med_income_underemp,unemp_rate,avg_temp,avg_precipitation
Belgium,92.2,13.4,238.55555555555557,0.038603242830097674,238.33333333333337,226.2222222222222,81.5,235.2222222222222,25.9,103.30555555555554,21335.0,156.8,13.2,18.4851460433477,5.0,6.1,4.6,14.6,7.8,48.8,33.1
Bulgaria,95.3,25.0,166.00000000000003,0.006535154123051312,186.8888888888889,181.22222222222226,74.9,157.22222222222226,54.2,61.52777777777778,6742.0,148.64,15.1,18.4325765115954,3.0,3.6,2.6,11.9,7.6,49.4,24.7
Czechia,98.1,11.7,239.6666666666667,0.016899256076714934,234.00000000000003,214.0,79.1,217.66666666666663,32.1,89.8888888888889,12478.0,146.11999999999998,13.5,18.862489172677602,3.8,4.9,3.7,6.7,4.0,44.5,27.4
Denmark,95.5,8.4,268.11111111111114,0.05072986360533379,261.3333333333333,248.55555555555557,80.9,257.6666666666667,24.5,116.08333333333333,21355.0,155.2,6.8,18.0820044066965,7.5,7.9,5.9,10.7,6.2,46.0,23.9
Germany,96.7,14.1,249.7777777777778,0.03938870622731737,223.0,212.11111111111111,81.0,228.66666666666666,30.0,119.69444444444446,21152.0,149.4,23.2,17.105589842993,5.3,6.4,4.9,9.6,4.1,46.6,29.4
Estonia,92.8,9.2,210.66666666666666,0.01675036984676949,231.55555555555557,210.44444444444443,78.0,199.0,31.6,93.80555555555556,11867.0,138.35999999999999,9.9,19.688363056266898,5.2,6.0,4.4,5.8,6.8,41.9,25.6
Ireland,96.2,9.9,259.55555555555554,0.05972565885765947,231.44444444444446,222.7777777777778,81.8,237.66666666666666,45.3,85.8888888888889,18286.0,168.16000000000003,4.6,20.6013349397843,5.1,6.9,3.2,18.2,8.4,49.4,40.8
Greece,96.2,11.8,202.0,0.01631686699112801,195.8888888888889,194.8888888888889,81.5,197.2222222222222,53.6,53.02777777777778,9048.0,162.24,19.6,17.604416155416,4.1,5.0,2.0,17.2,23.6,62.5,25.3
Spain,96.9,10.3,229.22222222222226,0.023896641120507964,219.88888888888889,212.55555555555557,83.5,216.88888888888889,38.7,82.80555555555556,15347.0,151.92000000000002,10.1,16.6743314398887,3.1,5.4,1.9,14.9,19.6,60.0,21.7
France,93.1,14.8,241.55555555555557,0.03432082718600905,227.55555555555557,219.8888888888889,82.7,218.88888888888889,31.8,92.55555555555556,20621.0,151.68,14.1,18.527500485112398,4.5,5.6,3.0,8.4,10.1,52.3,30.7
Croatia,94.5,3.0,203.0,0.010884646020001918,222.44444444444446,212.33333333333337,78.2,199.33333333333334,57.7,67.80555555555556,8985.0,144.96,7.0,18.5512623547541,3.3,6.10645161290323,2.8,13.0,13.1,55.1,41.1
Italy,86.8,14.7,195.0,0.028432063778448823,225.11111111111111,206.44444444444446,83.4,212.55555555555554,40.4,79.36111111111113,16237.0,148.96,15.1,15.4749732744415,3.6,5.8,2.1,12.8,11.7,56.3,30.4
Cyprus,97.0,9.8,195.66666666666666,0.02200148261497108,231.3333333333333,217.88888888888889,82.7,196.88888888888889,56.6,64.16666666666667,16173.0,167.04,9.2,23.3226282027637,3.6,4.7,2.6,10.6,13.0,66.1,15.4
Latvia,91.8,10.0,230.11111111111111,0.01209333979272314,231.66666666666663,222.88888888888889,74.9,202.0,60.0,76.86111111111111,9257.0,133.48,17.2,20.442857825964502,4.5,5.4,3.6,7.2,9.6,42.9,23.2
Lithuania,96.8,3.4,254.55555555555554,0.012765009467938961,238.44444444444443,218.2222222222222,74.9,212.1111111111111,53.2,79.86111111111111,9364.0,132.04,15.6,20.526780812037998,4.9,6.0,4.5,10.2,7.9,43.4,26.3
Luxembourg,87.1,12.2,249.66666666666663,0.10403569414056324,239.8888888888889,230.55555555555557,82.7,234.33333333333337,21.9,111.5,28663.0,152.48,16.1,18.9406522456197,5.3,6.1,5.0,6.6,6.3,46.7,32.4
Hungary,97.2,9.7,203.88888888888889,0.011461869975410632,224.11111111111111,200.2222222222222,76.2,192.0,50.8,73.08333333333333,8267.0,144.36,12.8,18.3451221961619,5.1,5.7,4.5,8.2,5.1,50.3,22.7
Malta,96.1,10.4,231.44444444444446,0.02478032350179191,237.88888888888889,214.7777777777778,82.6,223.8888888888889,20.8,95.8888888888889,17264.0,156.51999999999998,30.2,20.590659077406603,4.9,6.3,5.7,7.3,4.7,65.7,22.0
Netherlands,90.9,16.9,252.55555555555557,0.042527950775582725,241.66666666666666,236.66666666666666,81.7,244.99999999999997,22.5,117.16666666666667,21189.0,157.12,13.2,18.269979122586697,6.2,6.6,5.5,9.7,6.0,49.2,29.7
Austria,95.8,12.4,275.22222222222223,0.04239944584226976,257.77777777777777,235.55555555555554,81.8,250.22222222222226,22.6,106.8888888888889,23071.0,156.8,10.7,18.6775435197109,6.0,7.2,4.4,8.1,6.0,44.6,39.3
Poland,95.9,5.6,245.88888888888889,0.011211785441626156,235.7777777777778,219.88888888888889,78.0,232.7777777777778,37.9,87.91666666666667,10865.0,143.36,11.4,21.9158084735625,4.2,5.2,3.5,6.4,6.2,44.6,24.6
Portugal,90.4,7.8,202.0,0.017655496811358414,221.55555555555554,209.33333333333334,81.3,192.55555555555557,38.3,78.63888888888889,10805.0,134.68,13.1,17.0740447661458,2.9,5.4,1.7,9.1,11.2,60.4,32.5
Romania,95.6,14.1,237.66666666666666,0.00846817612937235,224.8888888888889,217.33333333333334,75.3,225.7777777777778,54.5,71.33333333333334,4724.0,155.48,14.5,18.775327519261502,5.8,6.4,4.8,8.2,5.9,47.6,24.7
Slovenia,96.4,8.5,249.66666666666666,0.01968462419806174,232.8888888888889,216.7777777777778,81.2,217.7777777777778,41.7,88.44444444444444,15250.0,149.16,15.9,18.308799822845604,2.7,5.5,1.8,7.4,8.0,46.4,49.1
Slovakia,97.9,6.9,216.11111111111111,0.015050131220173445,229.8888888888889,219.11111111111111,77.3,220.66666666666666,37.9,81.97222222222221,10466.0,149.83999999999997,9.3,21.908599460889302,3.6,4.4,3.5,6.5,9.7,43.2,26.2
Finland,98.1,6.5,250.77777777777774,0.04019756380881651,262.55555555555554,248.2222222222222,81.5,258.6666666666667,29.4,118.30555555555556,19997.0,153.47999999999996,7.2,18.7139599901475,7.2,8.2,6.0,11.4,8.8,36.6,21.9
Sweden,97.3,12.7,245.0,0.04884051269369826,246.11111111111111,234.77777777777774,82.4,250.44444444444446,20.7,122.47222222222223,20955.0,158.72,6.3,19.3862924193189,6.7,7.1,5.5,8.5,7.0,40.3,22.6
United Kingdom,93.1,16.8,252.33333333333334,0.0380389312302931,228.44444444444446,221.88888888888889,81.2,232.11111111111111,38.0,103.55555555555556,17296.0,155.48,9.0,19.942316013787398,5.5,6.4,3.8,11.3,4.8,48.8,29.7
Iceland,96.4,2.2,238.8888888888889,0.059089670296239016,258.3333333333333,236.6666666666667,82.2,253.99999999999997,30.9,107.94444444444446,22193.0,162.4,7.9,21.5933146573033,5.7,7.7,3.7,4.3,3.0,38.5,38.1
Norway,97.1,4.6,268.88888888888886,0.06741979945999502,257.44444444444446,228.55555555555554,82.5,250.33333333333337,18.1,126.8888888888889,27670.0,158.8,6.8,19.5865463817537,7.2,7.5,5.9,7.7,4.7,39.8,44.2
Switzerland,95.7,10.9,255.33333333333334,0.07615077799660123,253.44444444444446,220.33333333333334,83.7,256.11111111111114,21.0,113.44444444444446,27692.0,162.28,8.9,18.4457868857281,7.0,7.4,6.6,5.5,5.0,42.5,46.7
